Gene Name	log2FoldChange	pvalue	padj
TCEA3	-1.259220041	0.002136895	0.022993317
STMN2	4.488901497	0.002137385	NA
UNC119B	-2.653201072	0.002138479	0.022993317
HSPA9	-1.977613916	0.002138742	0.022993317
LOC100288637	-1.585705226	0.002149587	0.023083845
IGFL4	-0.962874903	0.002150161	0.023083845
PLCH2	-2.504446376	0.002151596	0.023083845
ECH1	1.635774796	0.002157955	0.023113451
DDHD1	2.017327632	0.002158086	0.023113451
GUSBP15	1.617110599	0.002158794	0.023113451
SRSF11	-3.315223146	0.002164179	NA
LOC101928937	-1.23667735	0.002165058	0.023155017
LOC105377458	-1.600249837	0.002165757	0.023155017
MXI1	-1.737789158	0.002169574	0.023155017
CCNYL6	2.176950834	0.002170934	0.023155017
GALNT11	-1.590604176	0.002172577	0.023155017
FDFT1.1	1.403457528	0.002173018	0.023155017
SLC38A5	2.426907359	0.002174517	NA
BHLHE23	-1.36591846	0.002174812	0.023155017
G0S2	-2.482149996	0.002178073	0.023155017
SYS1	-1.307682478	0.002178153	0.023155017
POU2F2	-1.307657531	0.002178369	0.023155017
LINC02875	-2.974310679	0.002178982	0.023155017
LOC403312	-2.977984088	0.00218238	NA
ZNF709	-1.709483326	0.002183382	0.023186008
TTC22	-1.552194084	0.002187669	0.023215743
OIP5-AS1	-1.723567975	0.002190833	0.023233542
MCF2L-AS1	1.6381418	0.002197059	0.023273127
SNORD139	-2.161908129	0.002197546	0.023273127
KPNA1	1.440929723	0.002201513	0.023284326
PENK-AS1	1.480335265	0.002201584	0.023284326
DKFZP586I1420	1.112450418	0.002204767	0.023301383
B3GALT2	2.039165163	0.00220618	0.023301383
PRDM15	1.109901041	0.002212207	0.023310483
KNDC1.1	-2.090120861	0.002213022	0.023310483
THY1.1	-0.957943999	0.002213288	0.023310483
SNORD143	2.223882347	0.00221429	0.023310483
EFCAB13	-2.645977457	0.002215306	0.023310483
IQCN	-1.411681295	0.002220406	0.023310483
IFITM1	1.539947928	0.002220852	0.023310483
FAAH2	0.733912569	0.002221497	0.023310483
RNF38	-2.218055436	0.002222723	0.023310483
MGAT3	-1.744602194	0.002223135	0.023310483
NREP	2.510041073	0.002223457	0.023310483
MKRN7P	-2.63524199	0.002229075	0.023353713
RBM4	-0.572421777	0.002236301	0.023390332
MTRNR2L9	0.774294694	0.002236973	0.023390332
SLC35F3	-2.441511641	0.002237063	0.023390332
ABRAXAS2	-2.629442806	0.002245323	0.023461
HDLBP	-1.493263332	0.002248209	0.023475447
CPNE9	-3.688666093	0.002255548	NA
MIR3188	-0.679069067	0.002259399	0.023556898
UBE2L6	-1.423154788	0.002259927	0.023556898
LOC728554	-0.47258992	0.002260533	0.023556898
IREB2	1.445966528	0.002263466	0.023569259
HOXB2	-2.212058526	0.002265911	0.023569259
ARHGEF9	-1.243428686	0.002266578	0.023569259
STARD3NL	-2.80568048	0.002267755	0.023569259
RIPOR1	-1.819053456	0.002271192	0.023574599
GPATCH2L	3.404641086	0.002271513	0.023574599
NKX3-2	0.944024622	0.002272796	0.023574599
RPS15AP10	3.167356361	0.002273963	NA
RPL11	-1.733943964	0.002275389	0.023585833
PTP4A3	-3.83302181	0.002277328	0.02359028
PLPP4	1.255604556	0.002283839	0.023612994
MYH3	-3.092571879	0.002284046	0.023612994
NCBP2AS2	1.756051216	0.002284056	0.023612994
RPS6KA2-IT1	1.604532994	0.002289191	0.023650433
RFX3	2.020816141	0.002296871	0.023714097
SLC35D2	-1.452722268	0.002303313	0.023764897
CHFR	-2.761244285	0.002305805	0.023774904
ASPA	-0.835052556	0.002310885	0.023810977
PTGES	-1.839163054	0.002312352	0.023810977
LINC01182	1.343888926	0.002316063	0.023823167
RANBP6	0.691932668	0.002316586	0.023823167
IFIH1	3.366864596	0.002318276	0.023824856
APBB1	-2.435507866	0.002322663	NA
CNTROB	1.91156631	0.002327691	0.02389169
NADSYN1	1.320136214	0.002327838	0.02389169
LRRC63	1.784840263	0.002332954	0.023925774
CD200	0.887002318	0.002334222	0.023925774
IVD	-0.782719037	0.002340575	0.023963775
DAB1	2.757632538	0.002342611	0.023963775
TMEM139	-1.184481687	0.002343515	0.023963775
COPS3	-1.213493746	0.002344066	0.023963775
USP36	0.710579561	0.002347454	0.023969554
HSD17B14	-1.779842981	0.0023477	0.023969554
CSAD	-1.960202589	0.002354706	0.024022709
CDK20	-2.562309702	0.002355982	0.024022709
ZNF587	2.017227513	0.002359559	0.024043492
CCDC183	-1.555018167	0.002368279	0.024113272
DDX11L2	-0.696049419	0.002369494	0.024113272
SLC25A14	1.242867054	0.0023732	0.024135262
SPATA32	-1.127935678	0.002377287	0.02416109
AFAP1-AS1	-2.293805833	0.002381561	0.024183818
LOC284798	-3.271682431	0.002382619	0.024183818
STYX	-2.278192407	0.002385728	0.024199645
PDZRN3.1	-4.068201896	0.002386163	NA
LOC101927967	3.220659566	0.002389097	NA
MIR23AHG	-1.016653004	0.002393588	0.024251043
ATP1A4	-2.246052547	0.002395075	0.024251043
PANK2	-2.734547496	0.002395452	0.024251043
PPP2R2B	1.771839301	0.002397587	0.024256935
PTMAP11	2.078333844	0.002400745	0.024273161
PDIK1L.1	1.748366455	0.002407202	0.024299821
CA10	-2.825342125	0.002407628	0.024299821
TMEM250	-0.755353208	0.002408162	0.024299821
SNAP91	1.510009514	0.002411309	0.024299821
CIBAR1.2	1.684124225	0.002411999	0.024299821
DNAAF1	-2.087456159	0.002412715	0.024299821
PPP1R15A	-0.927073021	0.002417317	0.024313347
MAGEL2	-3.090941207	0.002417702	0.024313347
GORASP2	1.923748938	0.002419365	0.024313347
CTSC	1.006647739	0.002420284	0.024313347
FAM83F	-2.429931461	0.002424267	0.02433771
AMH	-0.80506603	0.002426739	0.024346876
GLIPR2	-4.274756399	0.002427854	NA
ILKAP	-2.717087185	0.002438609	0.024450265
TLE5	-0.990886205	0.002443709	0.024485679
PDIA3P1	1.377209315	0.002451039	0.024520312
ALG1L9P	-1.664316177	0.00245143	0.024520312
HSP90AA1	-2.492291368	0.002452715	0.024520312
SCMH1	2.416098297	0.002454809	0.024520312
PPP4R1L	0.932267715	0.002455444	0.024520312
LINC02245	0.615679086	0.002457043	0.024520312
BATF3	-1.593170547	0.002459472	0.024520312
UBE3D	-1.223878993	0.002459723	0.024520312
MAPK8IP1P2	-2.346237575	0.00246759	0.024583056
ABCD3.1	2.275135193	0.002472822	NA
USP9X	0.650694758	0.002475933	0.024650446
APOLD1	-0.987123739	0.002481061	0.024685766
GABPA	2.613606692	0.002486126	0.024708611
FSCN3	-0.708721021	0.002487519	0.024708611
DUSP5P1	-1.000789433	0.002491337	0.024708611
C5	2.573190362	0.002492426	0.024708611
GOSR2.1	1.749246617	0.002492765	0.024708611
TMEM54	-2.25015766	0.002492847	0.024708611
PPP1R12A-AS1	3.483601844	0.002502751	NA
PSMD9	-2.524808347	0.002504905	0.024812382
ZSCAN2.1	1.519370867	0.002510276	0.024849826
SLC26A3	2.980475672	0.002513949	NA
ACSF3	-1.087832706	0.002515117	0.024881983
STK11IP	-1.015806454	0.002524816	0.024962123
COX6C	-2.377593394	0.002529335	0.024990983
DIAPH1	1.756447412	0.002546496	0.02513083
ZBED3	2.08987742	0.002546707	0.02513083
LINC01841	-1.145962858	0.002548863	0.025136229
DENND10P1	1.816337304	0.002552343	0.025154673
PACRG-AS3	1.116606	0.002564116	0.025254761
CRIP2	1.218915755	0.002567011	0.025258443
ZSCAN18	1.030166331	0.002567723	0.025258443
IGF2BP3	2.107573645	0.002572177	0.025262523
ATP1A2	-1.432554232	0.002573938	0.025262523
PHC2-AS1	2.878438168	0.002574449	0.025262523
LINC01411	-2.638058698	0.002574607	0.025262523
HCP5B	-3.434512985	0.002576243	NA
KSR1	1.72903566	0.002579549	0.025286533
ISM1-AS1	-2.191001934	0.002580292	0.025286533
MIR548AR	-1.829155406	0.002585689	0.025323541
HSPB11	1.297174121	0.002593551	0.025368775
SP2	1.593710439	0.002594776	0.025368775
DHX57	-1.190813931	0.002596336	0.025368775
LOC101928295	-0.921060269	0.002597644	0.025368775
PCDHGC4	1.836105021	0.002599899	0.025368775
SLK	-1.226701056	0.002600052	0.025368775
ARHGEF3	3.114209517	0.002603177	NA
OVOL2.1	-3.922754295	0.002603241	NA
ZNF75D	-3.117187473	0.002604334	NA
SYT13	-1.784880467	0.002604926	0.025380198
MIR4635	-1.511826562	0.002605612	0.025380198
HSFX1	1.586167808	0.002606357	0.025380198
LINC01121	-1.421491213	0.002608753	0.025380198
JPT1	-1.99513181	0.002609346	0.025380198
UBA1	2.56802602	0.002611926	NA
SEC23A-AS1	-1.771532657	0.002613126	0.025384305
TDRD10	-2.88155484	0.002614413	0.025384305
MUL1	-1.595429876	0.002615664	0.025384305
LINC01137	-0.982551466	0.002616269	0.025384305
PRKAR1B-AS2	-1.230455953	0.002619562	0.025400484
EXOC7	1.410090397	0.00262185	0.0254069
HEMK1	1.23964474	0.002625403	0.025425557
MCRIP1	-1.03543338	0.002632723	0.02548065
TLL1	-1.479062503	0.002637349	0.025500187
LOC728975	-1.04688555	0.002638754	0.025500187
LIPA	-1.885366365	0.002641578	0.025500187
MAP6D1	1.310993778	0.002642404	0.025500187
MEN1	-3.193631695	0.002643146	0.025500187
ALS2CL	-1.706519939	0.002645764	0.025500187
CRABP1	2.10276779	0.00264776	0.025500187
SNORA64	-0.870982786	0.002647801	0.025500187
MRFAP1	-1.450246192	0.002652181	0.025521121
ICA1L.1	1.760704119	0.002653243	0.025521121
CA13	1.226214125	0.002657154	0.025535084
ZSCAN16	2.034775739	0.002657963	0.025535084
GDAP2	0.974430135	0.00266056	0.025544317
RASSF1	-1.256594624	0.002664488	0.025566323
LHFPL6	2.687019457	0.002669768	0.025601254
UCN3	2.773517954	0.00267261	0.025612785
ZNF326.1	-1.035453571	0.00267683	0.025634467
LOC441081	-1.629934344	0.002679507	0.025634467
MFF	-2.400627418	0.002680708	0.025634467
CFAP20DC-AS1	-2.744150487	0.002681436	0.025634467
SNRNP40	2.346555911	0.002686643	0.025658055
TMPO	-2.32039293	0.002687968	0.025658055
GALR2	-0.616775914	0.002690204	0.025658055
MKRN2OS	-2.076450503	0.002690474	0.025658055
NGEF	-2.896564664	0.002692228	0.025659121
DDX18	-1.770515315	0.002695326	0.025672977
FGFR1	1.073263477	0.002697974	0.025682545
LOC107986453	-2.719235687	0.002699872	0.025684954
PPP4C	-2.989302173	0.002703788	0.025693686
EMC10	-2.26157518	0.00270565	0.025693686
ARHGAP42-AS1	1.81951369	0.002705724	0.025693686
LINC01359	1.569686121	0.002712709	0.025724325
SPRED3	-1.281723673	0.002712772	0.025724325
LOC114841035	-1.188088155	0.002717103	0.025724325
CDK9	-3.463353575	0.002718677	NA
PRKAG2	-3.961328196	0.002719613	NA
KIAA0930	2.901449008	0.002720462	0.025724325
BLZF1	1.407107036	0.002720801	0.025724325
SLA	1.827868831	0.002722238	0.025724325
MELTF-AS1	-1.451355404	0.002722861	0.025724325
SPECC1L	-0.645442917	0.002722865	0.025724325
LOC100128653	-1.255805676	0.002723771	0.025724325
KERA	-1.648470651	0.002726573	0.025735224
PPP1R26-AS1	-3.889593491	0.002727187	NA
MARK2P9	-2.312285777	0.002733857	0.025774878
LARP7	1.541051157	0.002734074	0.025774878
PELI3	-1.695728951	0.002737484	0.025791457
LOC101927506	-3.985462421	0.002739067	NA
FILIP1	1.887039197	0.002740656	0.025805783
LINC02817	-1.310342243	0.002743329	0.025815386
OLFM2	-1.928244535	0.002745383	0.025819164
ZNF204P	-3.556421941	0.002753658	NA
LOC150051	3.199254891	0.002755168	NA
MIR6764	-2.7396241	0.002761966	0.025946615
PVT1	-1.771627487	0.002762257	0.025946615
LOC388780	-2.272436159	0.002764922	0.025956038
CT55	-2.516561572	0.002769341	0.025981912
TACC3	-1.117743483	0.002773464	0.026004966
NAIF1	-1.803260734	0.00277789	0.026030846
CKS1B	-1.414296032	0.002785095	0.026082718
CD8A	-1.603708506	0.002787359	0.026088276
PAQR5	1.895495443	0.002790604	0.026090703
RASD2	-1.529091913	0.002790959	0.026090703
SLC25A2	1.17002933	0.002792804	0.026092336
ETFRF1	-1.267293973	0.002796771	0.026102691
TCERG1L	-1.4464903	0.002797254	0.026102691
TCAF1	1.37317042	0.002805789	0.026165215
YME1L1	-1.80636996	0.002809731	0.026165215
RB1	-2.493981438	0.002811994	0.026165215
LYNX1.1	-3.050713667	0.002814224	0.026165215
NDUFAB1	2.36178262	0.002814718	0.026165215
BBIP1	-1.449962941	0.00281615	0.026165215
FSTL4	0.916726554	0.002816911	0.026165215
NPAS3	1.248361601	0.002817354	0.026165215
RHOQ	-2.191944943	0.002820337	0.026177356
COX20	2.577761553	0.002824304	0.026185121
CCDC186	0.960765489	0.002824527	0.026185121
MT1HL1	2.218283123	0.002829003	0.026211068
BMP8A	-0.930350051	0.002842579	0.026309534
RNF181	-2.277195362	0.002844711	0.026309534
DBX2	1.93897492	0.00284553	0.026309534
LINC00304	2.959757064	0.002846368	0.026309534
FUT8-AS1	0.874913689	0.002853583	0.026347567
LRRCC1	-2.970124774	0.002854347	0.026347567
FBLIM1	1.754485876	0.002855543	0.026347567
JRK	-3.507504451	0.002858972	0.026363636
AP4S1	2.813240989	0.002877387	0.026517793
CH25H	-1.564753154	0.002886519	0.026559447
HYPK	-1.524696774	0.002886751	0.026559447
VAPB	2.075073075	0.002887393	0.026559447
PCTP.1	-2.135360414	0.002888707	0.026559447
LINC01567	-2.043788866	0.002890633	0.02656152
PAIP1	-1.612837042	0.002895315	0.026588895
CATIP-AS2	-3.14715185	0.002905375	0.026665611
NUDCD1	1.290234964	0.002908792	0.026681292
TTC12	1.058157842	0.00291728	0.026735045
WDR6	1.504337614	0.002918075	0.026735045
SPATA41	-1.669898257	0.00292424	0.026775826
ZNF844	1.232124894	0.002927855	0.026793214
SNHG29	-1.231511577	0.002932869	0.026815967
SERPING1	1.728355566	0.002934818	0.026815967
TCEAL2	1.663685117	0.002938972	0.026815967
ISCA1	2.312190817	0.00294009	0.026815967
MCFD2	-1.847893718	0.002940908	0.026815967
TRIL	-2.56260111	0.002942025	0.026815967
LOC110091776	-1.831101512	0.002942358	0.026815967
CCNO.1	-3.766193369	0.002948409	0.026844885
GATD1	-2.049179993	0.002950284	0.026844885
LOC286178	2.091005455	0.002950686	0.026844885
CAMK2N1	-1.678461185	0.00295825	0.026898038
ZNF706	0.81070416	0.002960551	0.026903296
HHIPL1	-0.971048327	0.002963446	0.026911644
ATP13A1	-1.189071905	0.002964915	0.026911644
C5AR1	1.579174085	0.002970348	0.026945304
CNTD1	-2.74710638	0.002972773	0.026948437
MIR6883	-1.146536316	0.002974144	0.026948437
NSA2	-1.633568084	0.002980405	0.02697367
ANKRD46	2.193575823	0.002982069	0.02697367
LOC101928135	-1.134673644	0.002982109	0.02697367
ZNF155	-2.033799577	0.002984238	0.026977307
LRRC75B	-2.091240145	0.002987225	0.026988686
NDUFA5.1	-3.467494825	0.003009983	NA
MIR1249	1.454819306	0.003012427	0.027200649
MUC5B	-1.267061758	0.003020134	0.027232844
LOC105372653	-2.034152881	0.003023899	0.027232844
C8orf34-AS1	1.304488028	0.003024241	0.027232844
KIAA0408	1.382104636	0.003024259	0.027232844
ARID2	1.890220731	0.003026472	0.027232844
CTSG	-1.690222897	0.003029836	0.027232844
SNORD88B	-1.551531042	0.003030308	0.027232844
VSTM5	1.17861456	0.00303166	0.027232844
ZNF689	-1.104942354	0.003031683	0.027232844
ST8SIA5	2.683122505	0.003034365	0.027241273
CUL4B	1.281059901	0.003047298	0.027305138
LOC285819	2.644717467	0.003050286	0.027305138
SSH1	-2.471736356	0.003050988	0.027305138
LOC100996318	2.167405047	0.003051372	0.027305138
SUGP1	-2.271936402	0.003051644	0.027305138
LINC00205	-1.029956014	0.003051967	0.027305138
SLC35E4	-0.506662277	0.003058214	0.027345367
GCNT2	1.820238112	0.003065303	0.02734885
TIGD2.1	1.107588505	0.003065894	0.02734885
LINC02605	2.596217412	0.003066543	0.02734885
AFTPH-DT	1.23480285	0.003067092	0.02734885
SH3YL1	1.482852626	0.003067357	0.02734885
SLC17A6	-1.552510543	0.00306941	0.027350825
HIPK2	0.98252535	0.00307108	0.027350825
SCARNA22	1.017914779	0.003073698	0.027354449
PLPP2	1.184978123	0.00307499	0.027354449
LINC02607	-2.785638846	0.003080004	0.027381079
ODF3L1	-0.658959392	0.003081489	0.027381079
TMEM200A	-3.378679694	0.003087979	0.027423147
KRTAP5-2	-1.077593033	0.003091293	0.02743698
SRSF9	-1.449630386	0.003105198	0.02753148
PSMB3	-0.778148534	0.0031057	0.02753148
STOX1	2.077693168	0.003109159	0.02753148
LINC00847	-0.99323859	0.003109369	0.02753148
CDT1	-1.56556523	0.003111622	0.02753148
CCT3	1.887519138	0.003114188	0.02753148
ZNF230	1.52882925	0.003115663	0.02753148
ZNF705E	-0.958847786	0.00311604	0.02753148
LIX1L-AS1	-1.770485082	0.003120156	0.027552266
HGF	3.711108613	0.003122962	NA
UIMC1.1	-2.496173544	0.00313232	0.027644048
ZNF784	-0.841651216	0.003134919	0.02764683
ZNF554	-1.232476171	0.003136175	0.02764683
TMEM154	1.77067116	0.003138932	0.027654585
RTL8B	-2.29980394	0.003140595	0.027654585
MGC16025	-2.883407679	0.003151789	0.027727774
RFFL	-1.933079364	0.003152457	0.027727774
LOC102724604	4.607589807	0.003156208	NA
CA7	-1.483552352	0.003157029	0.027747358
CCDC105	-2.459784927	0.003159879	0.027747358
WDR64	-1.727791767	0.003160224	0.027747358
ZNF252P-AS1	1.167212822	0.003162381	0.027747358
PLA2G4D	1.177232181	0.003164453	0.027747358
NME4	1.122870813	0.003166837	0.027747358
LINC01159	1.459834172	0.003167685	0.027747358
EPO	-0.78411944	0.003168894	0.027747358
PC	-3.807213331	0.003175458	NA
SLC66A1L	-2.805815408	0.003177377	0.027795219
KIF1C	-0.520660522	0.003178351	0.027795219
HCRT	-2.476471262	0.003179698	0.027795219
FAM131C	-2.004292011	0.00318628	0.027824508
TCAP	1.112416318	0.003186611	0.027824508
NUTM2F	1.154363137	0.003198112	0.027909338
NECTIN4	2.540292514	0.003199554	NA
EP400P1	-1.398675767	0.003204236	0.027947167
FAM166A	-0.787471433	0.003215438	0.028019445
TDH-AS1	-0.939567774	0.003216111	0.028019445
RASA4	-0.774681244	0.003219257	0.02803004
GGN	1.534399525	0.003220916	0.02803004
SNORA79B	1.893106233	0.003224167	0.028042709
CIT	-2.240052208	0.003232249	0.028097363
ARPIN	-2.960450132	0.003235479	NA
DUSP16	0.910162541	0.003243739	0.028181565
SNORD145	-1.733707323	0.003249869	0.028204669
FAM153CP	1.355809315	0.003253516	0.028204669
MTUS1	2.64512895	0.003255235	0.028204669
MAFIP	-3.641072264	0.003256203	0.028204669
ATP2B1	0.916328744	0.003256759	0.028204669
PDCD6IP.1	1.191176609	0.003257232	0.028204669
MIR7848	3.331995317	0.003259009	NA
THBS3	-2.281517316	0.003261494	0.028225929
NFU1	2.711241975	0.003263605	0.028228556
LINC00158	3.690545975	0.003267519	NA
TAMALIN	-2.598339285	0.003272042	0.028285777
PCDHB12	1.200005186	0.003273842	0.028285777
HLA-A	-2.700157624	0.003283173	0.028333595
RFX4	0.99435098	0.003285336	0.028333595
ERV3-1-ZNF117	2.127228588	0.003286237	0.028333595
RBM12B-AS1	2.336960353	0.003286632	0.028333595
EXOSC2	-1.328527439	0.003291381	0.028346166
GRK2	-3.09215908	0.003293101	0.028346166
CAB39L	-4.184451198	0.003293534	0.028346166
ACKR1	1.201802399	0.003299138	0.028378764
NEXMIF	0.923870643	0.003300974	0.028378929
LYL1	-0.992819884	0.00331273	0.028464328
SFR1	-1.383834923	0.003321945	0.028527822
C7orf50	-4.082447888	0.003322076	NA
RABEPK	-1.105646396	0.003326999	0.028550622
NPFF	-1.223854938	0.003330046	0.028550622
PCDHA4	1.928565286	0.003330083	0.028550622
ZFAND2A-DT	-3.489225783	0.003334105	NA
IQCJ	2.490649969	0.003338517	0.028607224
FOXCUT	-1.181614988	0.003348213	0.028668899
SNORD63B	-0.622102647	0.003352178	0.028668899
IREB2.1	-3.441688268	0.003353028	0.028668899
HNRNPL	-1.611303428	0.003354132	0.028668899
LINC01801	0.666715552	0.003355006	0.028668899
LINC01219	-0.871883676	0.003356726	0.028668899
UNC50	2.721343088	0.003363086	NA
SLC8A3	-1.45143436	0.003364795	0.028722114
TMEM223	-0.64133657	0.003387808	0.028902757
SYNGR1	-1.187634795	0.0033934	0.028930885
CCNQ	-1.439747349	0.003394809	0.028930885
SNRK	-1.093049348	0.003410181	0.02903604
LINC00888	0.791600489	0.003412601	0.02903604
PTPRS	-1.457609982	0.003412724	0.02903604
AGO4	1.567071476	0.003417924	0.029041661
RND1	1.557087508	0.003419511	0.029041661
ACTC1	-1.20276635	0.00342045	0.029041661
RBP4	2.076264001	0.003422836	0.029041661
ITM2A	-4.040333985	0.003424312	0.029041661
CASZ1	-1.766994142	0.00342454	0.029041661
RUSF1	2.66990663	0.003425052	NA
GPR45	2.094614386	0.003427969	0.029046896
MIR4519	-0.752017448	0.003429866	0.029046896
LINC00333	1.166621855	0.003430736	0.029046896
SHROOM2	-2.341231495	0.003433104	0.029049196
LOC101927069	-0.485842254	0.003434727	0.029049196
ASB12	1.545737563	0.003438753	0.029063446
MDK	-1.870175035	0.003440133	0.029063446
GLRA4	0.982182938	0.003445926	0.029083751
RAB27B	-2.082828207	0.00344626	0.029083751
SPP1	-3.89187289	0.003453365	NA
STC1	-4.116699446	0.003453578	NA
SPC25	2.767319213	0.003455658	NA
TAL1	-3.537485321	0.003466324	NA
TRIO	1.192441865	0.003467593	0.029235621
FEZF2	-0.969036642	0.003467999	0.029235621
GAPDH	-0.95202884	0.003476727	0.029293396
SNORD91A	-1.138494982	0.003481368	0.029316685
PGM3	-2.653525387	0.003488854	0.029363894
SIDT2	-1.069528875	0.00349169	0.029364464
RNF169	1.192645711	0.003492681	0.029364464
TTLL12	-3.822569119	0.003492685	NA
IMMP2L	0.792713142	0.003495412	0.029371615
GRIN2A	-2.774634927	0.00350039	0.029397632
MORN3	2.430548696	0.00350153	NA
SMAD1	-1.386700795	0.003505961	0.029424142
LOC400541	-2.781081393	0.003507314	0.029424142
BTAF1	0.850670354	0.003510427	0.029434453
PKD2	-2.378236615	0.003512543	0.029436388
PPP3CA	-1.565231888	0.0035171	0.029444745
LOC338963	2.815034301	0.00351731	0.029444745
LSM14A.1	-2.779117272	0.003520738	0.029457656
FAM217A	-0.807943396	0.003522723	0.029458484
GOLT1A	-4.092896991	0.003524864	NA
SCARB1	3.705688621	0.003534212	NA
TAF1B	0.718462665	0.003537028	0.029559952
CEP76	-2.413704422	0.003540585	0.029559952
BVES	-1.860693259	0.003541364	0.029559952
PIBF1	1.466609149	0.003542859	0.029559952
DPCD	-1.697235318	0.003544835	0.029559952
BPTF.1	1.506005275	0.00354621	0.029559952
PRNCR1	1.576484342	0.003548133	0.029560203
SMYD5	-1.543168677	0.003550136	0.029561131
DEDD2	-0.876442092	0.003560487	0.029627839
DNAH2	-0.723194355	0.003563548	0.029627839
RFX6	-2.075861344	0.003563838	0.029627839
PIP5K1C	-1.71264302	0.003569064	0.029655502
LRPAP1.1	-3.343517823	0.00357094	NA
MAZ	-2.373635558	0.003573156	0.029655764
MAPK3	-0.944133152	0.003574535	0.029655764
PDAP1	-1.258333888	0.003574791	0.029655764
CORO6	-1.411366283	0.00358425	0.029718453
FAM133CP	1.046275566	0.003591217	0.029760421
LOC101927023	2.046987956	0.003595642	0.029772091
TAGLN3	2.206343734	0.00359779	NA
SLC4A5	1.687348633	0.003600188	0.029772091
GRIPAP1	-1.586272275	0.003600359	0.029772091
ANKRD45	-1.72490202	0.003601894	0.029772091
DPH5	1.390890833	0.003602154	0.029772091
AUP1	0.808496672	0.003609969	0.029820903
ADAMTS7P1	2.300783572	0.003629387	0.029965461
WDR11	0.866552952	0.003635364	0.029988357
DCUN1D2	-3.868445729	0.003635999	0.029988357
ARHGDIG	-1.145484168	0.003638219	0.029990832
IGFBP7	-1.971335197	0.003642682	0.030011784
RFFL.1	-2.748482396	0.003647882	0.03003878
SSNA1	-0.589344756	0.00366063	0.0301229
AQP3	-0.671763304	0.003662434	0.0301229
LOC101929165	2.440139816	0.003663883	0.0301229
LOXL2	-2.33788421	0.00366749	0.030127103
EPHA7.1	3.095809933	0.003668277	NA
NSMAF	2.984593523	0.003671209	0.030127103
ATG12	1.401478846	0.003672621	0.030127103
LINC02397	-2.277194716	0.003673272	0.030127103
SHFL	1.570086841	0.003674037	0.030127103
DDX55	1.351616638	0.003677746	0.030128119
LINC02200	1.668761528	0.003678018	0.030128119
SHISA9.1	-0.683040547	0.003689147	0.030203439
ADAT2	1.041800799	0.003697146	0.030253076
SMIM14	0.775788389	0.003702549	0.030265943
UBL4A	-1.111562322	0.003705608	0.030265943
CPTP	1.536810232	0.003706484	0.030265943
SLC9A3R1	1.254286457	0.003707464	0.030265943
PDCD1	-2.028093138	0.003712	0.030265943
CDK16.1	1.041826272	0.003712402	0.030265943
ATPAF1	-1.340971933	0.003713191	0.030265943
LOC100507002	0.685757413	0.003715007	0.030265943
MIR4682	-1.839264909	0.003716156	0.030265943
TCEA1	-2.415840897	0.003726469	0.030334121
SLC16A8	1.176161046	0.003730716	0.030344467
PRR5-ARHGAP8	2.460050765	0.003731625	0.030344467
KISS1	-3.449139256	0.003738006	NA
LRRC47	0.999319801	0.003738107	0.030381355
RNPEPL1	0.65558117	0.003742663	0.030388899
SOCS6	1.262153423	0.003742926	0.030388899
ADAM21	-2.356401499	0.003748593	0.030412812
CYB5R4	2.93570829	0.003749765	0.030412812
TMC1	-2.237119419	0.003751575	NA
NKPD1	2.167263271	0.003758776	NA
PITPNM3	-0.768997003	0.003759633	0.030463022
ALPP	-2.695401577	0.003762606	0.030463022
LNCTAM34A	-2.178787302	0.00376348	0.030463022
GJB4	-2.148988325	0.003763756	0.030463022
STAT5B	-0.921492382	0.003770317	0.030500323
BCL7C	1.690057205	0.003774152	0.030515544
PLXNA4	2.017757285	0.003781836	0.030551936
PRO1804	-1.236046341	0.003782565	0.030551936
ADIRF	-1.197784976	0.003790029	0.030562731
HMGB1	1.862701023	0.003791183	0.030562731
CRMP1.1	1.902094428	0.003791365	0.030562731
MPLKIP	-1.195967881	0.003791727	0.030562731
NOL4L	1.261841066	0.003798031	0.030597752
SYT7	-1.02470915	0.003802882	0.030619359
ABCC12	-3.041460302	0.003805444	0.030619359
RGMA	1.674028023	0.003806593	0.030619359
SUCLG2-AS1.1	-1.953055921	0.003810282	0.030633258
GABRD	-2.692166252	0.003812988	0.030639238
SLC35E4.1	-1.558186568	0.003817721	0.030645863
TAOK2	-1.627478181	0.003817736	0.030645863
CDC73	-1.494560662	0.003820084	0.030648963
CBLN1	-2.676010923	0.003823156	0.030651827
PTPRR	1.21071014	0.003824365	0.030651827
SIPA1L1	1.358525486	0.003828801	0.03067105
LOC652276	1.980449174	0.003830691	0.03067105
VASH1	1.327752601	0.003837607	0.030708569
PCNT	-1.443090266	0.003842222	0.030708569
SCARB2	1.223959158	0.003842441	0.030708569
POFUT2	0.766134901	0.003844527	0.030708569
LCN2	-1.856574676	0.003849393	0.030708569
NDRG1	3.494496109	0.003849675	0.030708569
TMEM230	-2.61642336	0.003851159	0.030708569
SFPQ	1.217652221	0.003852434	0.030708569
FRG1JP	1.169365185	0.003853357	0.030708569
SERINC5	-1.882664218	0.003855035	0.030708569
LRRC45	-4.570544719	0.003855208	NA
CCNL2	1.005488688	0.003859713	0.030730163
IMPG2	2.48462499	0.003862598	NA
ZNF558	-1.087088598	0.003865832	0.030743707
TTN	1.601719309	0.003866536	0.030743707
